Brandon Lake,HOUSE OF MIRACLES,Gratitude,Worship,9:13,2,5
Phil Wickham,HYMNS OF HEAVEN,Battle Belongs,Worship,4:46,1,5
Getty Music,EVENING HYMN,He Will Hold Me Fast,Worship,4:33,5,4
Dunsin Oyekan,THE GOSPEL OF THE KING,Open Up,Gospel,10:30,3,5
Nathaniel Bassey,THE NAMES OF GOD,Adonai,Worship,8:31,4,5
Charity Gayle,ENDLESS PRAISE,I Speak Jesus,Worship,7:47,2,4
Brandon Lake,HELP!,Fear Is Not My Future,Worship,8:26,6,5
Phil Wickham,LIVING HOPE,Living Hope,Worship,5:32,3,5
Dunsin Oyekan,THE GLORY EXPERIENCE,Fragrance to Fire,Gospel,10:58,2,4
Nathaniel Bassey,JESUS: THE RESURRECTION & THE LIFE,See What the Lord Has Done,Worship,7:32,0,5
